741 8
0 0 9
1 0 9
4 0 9
8 0 9
10 0 9
12 0 9
13 0 9
17 0 9
19 0 9
26 0 9
30 0 9
32 0 9
33 0 9
36 0 9
37 0 9
41 0 9
44 0 9
51 0 9
64 0 9
66 0 9
68 0 9
69 0 9
74 0 9
78 0 9
80 0 9
81 0 9
84 0 9
85 0 9
94 0 9
96 0 9
98 0 9
100 0 9
101 0 9
104 0 9
106 0 9
108 0 9
109 0 9
113 0 9
115 0 9
129 0 9
131 0 9
136 0 9
137 0 9
140 0 9
141 0 9
147 0 9
152 0 9
154 0 9
156 0 9
157 0 9
161 0 9
163 0 9
169 0 9
171 0 9
194 0 9
198 0 9
206 0 9
208 0 9
210 0 9
212 0 9
213 0 9
226 0 9
230 0 9
234 0 9
238 0 9
240 0 9
241 0 9
244 0 9
245 0 9
256 0 9
257 0 9
260 0 9
261 0 9
264 0 9
266 0 9
268 0 9
269 0 9
273 0 9
275 0 9
282 0 9
286 0 9
288 0 9
289 0 9
292 2 9
293 0 9
296 0 9
297 0 9
300 0 9
301 0 9
307 0 9
321 0 9
324 0 9
328 0 9
330 0 9
332 0 9
333 0 9
337 0 9
339 0 9
346 0 9
350 0 9
352 0 9
353 0 9
356 0 9
357 0 9
361 0 9
364 0 9
371 0 9
387 0 9
393 0 9
395 0 9
408 0 9
409 0 9
412 0 9
413 0 9
419 0 9
427 0 9
512 0 10
514 0 10
516 0 10
517 0 10
522 0 10
526 0 10
528 0 10
529 0 10
532 0 10
533 0 10
542 0 10
544 0 10
546 0 10
548 0 10
549 0 10
552 0 10
554 0 10
556 0 10
557 0 6
561 0 10
563 0 10
578 0 10
582 0 10
590 0 10
592 0 10
594 0 10
596 0 10
597 0 10
610 0 10
614 0 10
618 0 10
622 0 10
624 0 10
625 0 10
628 0 10
629 0 10
640 0 10
641 0 10
644 0 10
645 0 10
648 0 10
650 0 10
652 0 10
653 0 10
657 0 10
659 0 10
666 0 10
670 0 10
672 0 10
673 0 10
676 0 10
677 0 10
680 0 10
681 0 10
684 0 10
685 0 10
691 0 10
710 0 10
722 0 10
726 0 10
742 0 10
750 0 10
752 0 10
754 0 10
756 0 10
757 0 10
768 0 10
770 0 10
772 0 10
773 0 10
778 0 10
782 0 10
784 0 10
785 0 10
788 0 10
789 0 10
798 0 10
800 0 10
802 0 10
804 0 10
805 0 10
808 0 10
810 0 10
812 0 10
813 0 10
817 0 10
819 0 10
832 0 10
834 0 10
836 0 10
837 0 3
842 0 10
846 0 10
848 0 10
849 0 10
852 0 10
853 0 10
862 0 10
864 0 10
866 0 10
868 0 10
869 0 10
872 0 0
874 0 10
876 0 10
877 -2 -1
881 0 10
883 0 10
897 0 10
899 0 10
904 0 10
905 0 10
908 0 10
909 0 10
915 0 10
920 0 10
922 0 10
924 0 10
925 0 10
929 0 10
931 0 10
937 0 10
939 0 10
1025 0 10
1027 0 10
1032 0 10
1033 0 10
1036 0 10
1037 0 10
1043 0 10
1048 0 10
1050 0 10
1052 0 10
1053 0 10
1057 0 10
1059 0 10
1065 0 10
1067 0 10
1088 0 10
1089 0 10
1092 0 10
1093 0 10
1096 0 10
1098 0 10
1100 0 10
1101 0 10
1105 0 10
1107 0 10
1114 0 10
1118 0 10
1120 0 10
1121 0 10
1124 0 10
1125 0 10
1128 0 10
1129 0 10
1132 0 10
1133 0 10
1139 0 10
1155 0 10
1161 0 10
1163 0 10
1176 0 10
1177 0 10
1180 0 10
1181 0 10
1187 0 10
1195 0 10
1216 0 10
1218 0 10
1220 0 10
1221 0 10
1226 0 10
1230 0 10
1232 0 10
1233 0 10
1236 0 10
1237 0 10
1246 0 10
1248 0 10
1250 0 10
1252 0 10
1253 0 10
1256 0 10
1258 0 10
1260 0 10
1261 0 10
1265 0 10
1267 0 10
1281 0 10
1283 0 10
1288 0 10
1289 0 10
1292 0 10
1293 0 10
1299 0 10
1304 0 10
1306 0 10
1308 0 10
1309 0 10
1313 0 10
1315 0 10
1321 0 10
1323 0 10
1345 0 10
1347 0 10
1352 0 10
1353 0 10
1356 0 10
1357 0 10
1363 0 10
1368 0 10
1370 0 10
1372 0 10
1373 0 10
1377 0 10
1379 0 10
1385 0 10
1387 0 10
1419 0 10
1433 0 10
1435 0 10
1538 0 6
1542 0 6
1550 0 6
1552 0 6
1554 0 6
1556 0 6
1557 0 6
1570 0 6
1574 0 6
1578 0 6
1582 0 6
1584 0 6
1585 0 6
1588 0 6
1589 0 6
1606 0 7
1618 0 7
1622 0 7
1638 0 7
1646 0 7
1648 0 7
1650 0 7
1652 0 7
1653 0 7
1664 0 7
1666 0 7
1668 0 7
1669 0 7
1674 0 7
1678 0 7
1680 0 7
1681 0 7
1684 0 7
1685 0 7
1694 0 7
1696 0 7
1698 0 7
1700 0 7
1701 0 7
1704 0 7
1706 0 7
1708 0 7
1709 0 7
1713 0 7
1715 0 7
1750 0 4
1778 0 1
1782 0 -1
1794 0 3
1798 0 3
1806 0 4
1808 0 4
1810 0 4
1812 0 4
1813 0 4
1826 0 1
1830 0 -1
1834 0 1
1838 0 -1
1840 0 0
1841 0 1
1844 0 -1
1845 0 -1
1858 0 3
1862 0 3
1870 0 4
1872 0 4
1874 0 4
1876 0 4
1877 0 4
1890 0 1
1894 0 -1
1898 0 1
1902 0 -1
1904 0 0
1905 0 1
1908 0 -1
1909 0 -1
1920 0 3
1921 0 3
1924 0 3
1925 0 3
1928 0 4
1930 0 4
1932 0 4
1933 0 4
1937 0 4
1939 0 4
1946 0 1
1950 0 -1
1952 0 0
1953 0 1
1956 0 -1
1957 0 -1
1960 0 0
1961 0 1
1964 0 -1
1965 0 -1
1971 0 -1
2048 0 6
2049 0 6
2052 0 6
2053 0 6
2056 0 6
2058 0 6
2060 0 6
2061 0 6
2065 0 6
2067 0 6
2074 0 6
2078 0 6
2080 0 6
2081 0 6
2084 2 6
2085 0 6
2088 0 6
2089 0 6
2092 0 6
2093 0 6
2099 0 6
2112 0 7
2114 0 7
2116 0 7
2117 0 7
2122 0 7
2126 0 7
2128 0 7
2129 0 7
2132 0 7
2133 0 7
2142 0 7
2144 0 7
2146 0 7
2148 0 7
2149 0 7
2152 0 7
2154 0 7
2156 0 7
2157 0 7
2161 0 7
2163 0 7
2177 0 7
2179 0 7
2184 0 7
2185 0 7
2188 0 7
2189 0 7
2195 0 7
2200 0 7
2202 0 7
2204 0 7
2205 0 7
2209 0 7
2211 0 7
2217 0 7
2219 0 7
2242 0 3
2246 0 3
2254 0 4
2256 0 4
2258 0 4
2260 0 4
2261 0 4
2274 0 1
2278 0 -1
2282 0 1
2286 0 -1
2288 0 0
2289 0 1
2292 0 -1
2293 0 -1
2304 0 3
2305 0 3
2308 2 3
2309 0 3
2312 0 4
2314 0 4
2316 0 4
2317 0 4
2321 0 4
2323 0 4
2330 0 1
2334 0 -1
2336 2 0
2337 0 1
2341 0 -1
2344 0 0
2345 0 1
2348 0 -1
2349 0 -1
2355 0 -1
2368 0 3
2369 0 3
2372 0 3
2373 0 3
2376 0 4
2378 0 4
2380 0 4
2381 0 4
2385 0 4
2387 0 4
2394 0 1
2398 0 -1
2400 0 0
2401 0 1
2404 0 -1
2405 0 -1
2408 0 0
2409 0 1
2412 0 -1
2413 0 -1
2419 0 -1
2435 0 3
2441 0 4
2443 0 4
2456 0 0
2457 0 1
2460 0 -1
2461 0 -1
2467 0 -1
2475 0 -1
2561 0 6
2564 0 6
2568 0 6
2570 0 6
2572 0 6
2573 0 6
2577 0 6
2579 0 6
2586 0 6
2590 0 6
2592 0 6
2593 0 6
2596 0 6
2597 0 6
2601 0 6
2604 0 6
2611 0 6
2624 0 7
2626 0 7
2628 0 7
2629 0 3
2634 0 7
2638 0 7
2640 0 7
2641 0 7
2644 0 7
2645 0 7
2654 0 7
2656 0 7
2658 0 7
2660 0 7
2661 0 7
2664 0 0
2666 0 7
2668 0 7
2669 -2 -1
2673 0 7
2675 0 7
2689 0 7
2691 0 7
2696 0 7
2697 0 7
2700 0 7
2701 0 7
2707 0 7
2712 0 7
2714 0 7
2716 0 7
