5678 5
0 2 21
1 3 21
4 2 35
9 3 21
20 2 21
41 3 21
128 1 14
130 -3 42
132 0 28
133 0 21
138 -3 42
140 -1 21
148 0 21
149 0 21
153 3 21
257 4 28
259 3 21
264 6 21
265 0 42
273 5 28
275 5 21
386 -4 21
390 -1 21
394 -2 9
396 3 9
397 -4 3
512 0 28
513 3 9
516 0 35
517 0 28
521 1 9
523 3 9
641 5 21
644 4 28
648 3 21
649 3 21
771 6 21
775 1 3
902 -6 10
1026 -3 21
1029 -4 21
1152 3 14
1154 -3 28
1156 1 10
1157 0 21
1281 4 28
1283 1 10
1412 5 28
1537 0 28
1539 5 28
1667 7 21
2178 0 28
2434 -2 14
2560 -1 28
2561 3 28
2689 5 21
3201 3 21
5248 3 21
16384 0 35
16386 -1 15
16388 0 35
16389 0 21
16394 0 15
16396 -1 15
16404 3 15
16405 0 21
16409 0 21
16514 0 28
16518 0 28
16522 0 21
16524 0 21
16525 1 21
16640 -1 15
16641 5 15
16644 0 15
16645 0 28
16648 0 15
16649 5 15
16651 3 21
16774 0 2
16896 0 9
16898 -1 15
16900 -2 9
16901 0 9
17024 3 21
17026 6 21
17028 1 21
17029 3 21
17153 6 15
17155 5 9
17410 -6 15
17538 3 28
17664 -1 15
17665 5 15
17794 3 15
17920 -3 15
17921 5 28
18049 7 21
18944 0 15
19072 0 28
19584 3 21
32769 4 21
32771 5 28
32776 6 15
32777 8 21
32785 5 21
32787 5 21
32896 4 35
32897 5 15
32900 0 21
32901 4 35
32904 0 15
32905 5 15
32907 5 15
33027 0 42
33031 0 3
33152 1 9
33154 -1 15
33156 0 9
33157 1 9
33281 0 28
33283 1 15
33409 8 15
33411 5 15
33666 -6 10
33792 36 21
33793 -6 21
33920 0 28
33921 5 15
34177 5 15
34944 5 15
35200 1 15
49154 0 16
49158 -3 16
49162 -6 21
49164 -6 21
49165 -6 3
49286 0 16
49408 1 16
49410 -5 35
49412 0 16
49413 0 16
49666 -8 16
49794 3 16
49920 4 9
49921 1 9
50432 0 16
50688 1 16
50816 5 10
65536 0 21
65537 1 16
65540 0 21
65541 0 21
65545 1 21
65547 0 21
65664 1 16
65666 -5 28
65668 3 16
65669 0 16
65793 0 28
65795 0 16
65922 -6 16
66048 36 21
66049 3 16
66176 4 16
66177 1 16
66688 3 16
66944 1 16
81921 7 21
81924 6 16
81928 3 21
81929 5 16
82048 0 28
82050 6 16
82052 5 16
82053 3 21
82177 8 16
82179 9 16
82306 5 16
82432 6 16
82433 5 16
82561 5 21
